               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.073893,              0.0401,                   0,             0.39354,             0.82231,             0.55402,             0.17904,            0.060545,            0.033325,                   0,            0.027803,           0.0048033,           0.0048033
                  39,            0.067414,            0.042074,                   0,             0.39354,             0.82231,             0.55402,             0.17904,            0.060545,            0.033325,                   0,             0.02585,           0.0048498,           0.0048498
                  40,            0.066634,            0.045897,                   0,             0.34023,              0.7004,             0.44959,             0.19388,            0.072376,            0.031521,                   0,            0.023892,           0.0048924,           0.0048924
                  41,            0.070371,            0.040017,                   0,             0.42108,             0.74089,             0.61088,             0.18176,            0.063473,            0.032654,                   0,            0.021931,            0.004931,            0.004931
                  42,            0.072964,            0.044978,                   0,             0.42108,             0.74089,             0.61088,             0.18176,            0.063473,            0.032654,                   0,            0.019966,           0.0049657,           0.0049657
                  43,            0.071217,            0.038873,                   0,             0.33552,              0.7166,             0.45926,             0.19692,            0.071802,             0.03157,                   0,            0.017996,           0.0049964,           0.0049964
                  44,            0.072023,            0.044547,                   0,             0.48126,             0.78543,             0.66866,              0.2273,            0.059465,            0.032135,                   0,            0.016023,           0.0050232,           0.0050232
                  45,            0.062262,            0.044967,                   0,             0.48126,             0.78543,             0.66866,              0.2273,            0.059465,            0.032135,                   0,            0.014046,            0.005046,            0.005046
                  46,            0.068843,            0.046843,                   0,             0.29707,             0.48178,             0.43625,             0.13307,            0.075853,            0.033127,                   0,            0.012065,           0.0050648,           0.0050648
                  47,            0.073936,            0.042929,                   0,             0.58531,             0.76518,             0.72933,             0.27774,            0.055651,            0.031769,                   0,             0.01008,           0.0050797,           0.0050797
                  48,            0.059893,            0.040363,                   0,             0.58531,             0.76518,             0.72933,             0.27774,            0.055651,            0.031769,                   0,           0.0080906,           0.0050906,           0.0050906
                  49,            0.064596,            0.045928,                   0,             0.41153,             0.78543,             0.55927,             0.21921,            0.072686,             0.03149,                   0,           0.0060975,           0.0050975,           0.0050975
                  50,             0.06999,            0.039307,                   0,             0.42264,             0.82093,             0.49542,             0.18055,            0.059146,            0.031151,                   0,             0.00505,             0.00505,             0.00505
                  51,             0.06509,            0.045688,                   0,             0.42264,             0.82093,             0.49542,             0.18055,            0.059146,            0.031151,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.062196,            0.035271,                   0,             0.28479,              0.8502,             0.36022,             0.14999,            0.061204,            0.032425,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.061925,            0.042923,                   0,             0.67437,             0.76113,             0.81393,             0.32255,            0.063606,            0.029644,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.06894,            0.043278,                   0,             0.67437,             0.76113,             0.81393,             0.32255,            0.063606,            0.029644,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.065884,            0.035317,                   0,             0.42249,             0.72065,             0.56164,             0.24161,            0.066308,            0.030262,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.064918,            0.041582,                   0,             0.75365,             0.80508,             0.85668,             0.29842,            0.054316,            0.030144,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.060367,            0.044365,                   0,             0.75365,             0.80508,             0.85668,             0.29842,            0.054316,            0.030144,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.063335,            0.045651,                   0,             0.52382,              0.7393,             0.68274,              0.2618,            0.068769,            0.030148,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.067152,            0.040175,                   0,             0.75678,             0.91903,             0.89948,             0.38654,            0.046888,            0.030491,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.054182,            0.041966,                   0,             0.75678,             0.91903,             0.89948,             0.38654,            0.046888,            0.030491,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.05641,            0.043173,                   0,             0.47103,             0.68826,             0.57259,             0.20659,            0.061744,            0.030773,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.058908,            0.042715,                   0,             0.87822,             0.91903,             0.96213,             0.43226,            0.046623,            0.030113,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.053399,            0.044118,                   0,             0.87822,             0.91903,             0.96213,             0.43226,            0.046623,            0.030113,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.054206,            0.044306,                   0,             0.61594,             0.81377,             0.74644,             0.33788,            0.058554,            0.030739,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.055773,            0.044144,                   0,             0.77172,             0.90329,             0.90719,             0.41631,            0.046204,            0.030079,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.054429,            0.039922,                   0,             0.77172,             0.90329,             0.90719,             0.41631,            0.046204,            0.030079,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.052272,            0.038228,                   0,             0.67796,             0.75005,             0.78454,             0.33702,            0.053183,            0.030041,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.052045,            0.042678,                   0,             0.73934,             0.87854,             0.88876,             0.39699,             0.04677,            0.029533,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.053696,             0.04478,                   0,             0.73934,             0.87854,             0.88876,             0.39699,             0.04677,            0.029533,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.051684,             0.04336,                   0,             0.54057,             0.79757,             0.73248,             0.31674,            0.049766,            0.029999,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.049967,            0.033762,                   0,             0.82786,             0.95951,             0.93948,             0.42277,            0.045926,            0.029518,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.052242,            0.036335,                   0,             0.82786,             0.95951,             0.93948,             0.42277,            0.045926,            0.029518,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.051971,            0.039643,                   0,             0.71435,              0.9112,             0.87565,             0.42132,            0.047909,            0.029434,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.049795,            0.038078,                   0,             0.86534,             0.94737,             0.95207,             0.45262,            0.044734,             0.02935,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.047426,             0.04225,                   0,             0.86534,             0.94737,             0.95207,             0.45262,            0.044734,             0.02935,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.047333,             0.03865,                   0,             0.58506,             0.89069,             0.79593,             0.38113,            0.046154,            0.029449,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.047589,            0.039999,                   0,             0.90596,             0.93927,             0.97015,             0.47038,            0.042636,            0.029232,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.047468,            0.039451,                   0,             0.90596,             0.93927,             0.97015,             0.47038,            0.042636,            0.029232,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.044952,            0.037073,                   0,             0.78135,             0.95485,             0.91457,             0.42798,            0.043439,            0.029179,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.043508,            0.037029,                   0,             0.90815,             0.96761,             0.98174,             0.46541,            0.042304,            0.029087,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.046959,             0.03841,                   0,             0.90815,             0.96761,             0.98174,             0.46541,            0.042304,            0.029087,                   0,             0.00208,             0.00208,             0.00208
