               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016161,           0.0050531,          0.00060355,             0.96904,                   1,             0.98861,             0.90234,           0.0077871,           0.0021906,          0.00043344,            0.006535,            0.006535,            0.006535
                  37,            0.017268,           0.0049243,          0.00055084,              0.9673,                   1,             0.99361,             0.88705,           0.0098688,           0.0019941,          0.00038595,            0.006436,            0.006436,            0.006436
                  38,            0.020038,           0.0049252,          0.00059131,             0.96878,                   1,             0.98361,               0.933,           0.0067137,           0.0018554,          0.00034409,            0.006337,            0.006337,            0.006337
                  39,            0.015693,           0.0051383,          0.00077432,             0.96882,                   1,             0.97556,             0.92337,           0.0056129,           0.0017896,          0.00041275,            0.006238,            0.006238,            0.006238
                  40,            0.016683,           0.0047799,          0.00068247,             0.96904,                   1,             0.97722,             0.93863,           0.0060902,           0.0019126,          0.00034714,            0.006139,            0.006139,            0.006139
                  41,            0.015695,           0.0045361,          0.00054338,             0.96906,                   1,             0.99194,               0.875,           0.0074957,           0.0020804,          0.00038738,             0.00604,             0.00604,             0.00604
                  42,            0.016447,           0.0053182,          0.00056846,             0.96885,                   1,             0.97389,             0.93431,           0.0053921,           0.0018458,          0.00031672,            0.005941,            0.005941,            0.005941
                  43,             0.01629,           0.0047774,          0.00040414,             0.96886,                   1,             0.97556,             0.93223,           0.0060913,           0.0019164,          0.00024157,            0.005842,            0.005842,            0.005842
                  44,            0.016733,            0.004955,          0.00046573,             0.96913,                   1,             0.98861,             0.92892,           0.0065086,           0.0019841,          0.00032301,            0.005743,            0.005743,            0.005743
                  45,            0.016611,           0.0050117,          0.00044215,             0.96888,                   1,             0.99194,             0.93737,           0.0060574,           0.0019388,          0.00026021,            0.005644,            0.005644,            0.005644
                  46,            0.014589,           0.0048117,          0.00048202,             0.96925,                   1,             0.99361,             0.92884,           0.0066925,            0.001987,          0.00028157,            0.005545,            0.005545,            0.005545
                  47,            0.015784,           0.0048391,          0.00051508,             0.96876,                   1,             0.97556,              0.9522,            0.005134,           0.0018601,          0.00030708,            0.005446,            0.005446,            0.005446
                  48,             0.01526,           0.0047548,          0.00046182,             0.96902,                   1,             0.97222,             0.89903,           0.0074492,           0.0019829,          0.00026331,            0.005347,            0.005347,            0.005347
                  49,            0.014178,           0.0046517,          0.00039307,             0.96918,                   1,             0.97389,             0.91296,           0.0057189,           0.0017931,           0.0003314,            0.005248,            0.005248,            0.005248
                  50,             0.01442,           0.0045094,          0.00052812,             0.96895,                   1,             0.96889,             0.93576,           0.0053773,            0.001687,          0.00039988,            0.005149,            0.005149,            0.005149
                  51,            0.014267,           0.0046113,          0.00047661,             0.96889,                   1,             0.98528,              0.9594,           0.0050889,           0.0017071,          0.00037708,             0.00505,             0.00505,             0.00505
                  52,            0.013993,           0.0044196,          0.00043562,             0.96909,                   1,             0.97722,              0.9242,           0.0053469,           0.0017366,          0.00022678,            0.004951,            0.004951,            0.004951
                  53,            0.012766,           0.0043538,          0.00040832,             0.96883,                   1,             0.97389,             0.92968,           0.0050952,           0.0019131,          0.00030842,            0.004852,            0.004852,            0.004852
                  54,            0.013908,           0.0044329,          0.00049139,             0.96914,                   1,             0.97389,              0.9359,           0.0055122,           0.0017762,          0.00034208,            0.004753,            0.004753,            0.004753
                  55,            0.012936,           0.0041892,           0.0003904,             0.96908,                   1,             0.97556,             0.95109,           0.0048535,           0.0016541,          0.00026693,            0.004654,            0.004654,            0.004654
                  56,            0.014048,           0.0044007,          0.00042241,             0.96888,                   1,             0.98194,             0.89977,           0.0070349,           0.0019822,          0.00024619,            0.004555,            0.004555,            0.004555
                  57,            0.013775,           0.0044708,          0.00030764,              0.9692,                   1,             0.98528,             0.92081,           0.0059955,           0.0019302,          0.00022888,            0.004456,            0.004456,            0.004456
                  58,            0.013576,           0.0043733,          0.00032363,             0.96879,                   1,             0.97222,             0.92911,            0.005042,           0.0018406,          0.00023456,            0.004357,            0.004357,            0.004357
                  59,            0.012988,            0.004154,          0.00032105,             0.96931,                   1,             0.97722,             0.91614,           0.0058715,            0.001749,          0.00018554,            0.004258,            0.004258,            0.004258
                  60,            0.012578,           0.0041533,          0.00032248,             0.96923,                   1,             0.97556,             0.91876,           0.0055225,           0.0019429,          0.00017095,            0.004159,            0.004159,            0.004159
                  61,            0.012258,           0.0040976,          0.00028376,             0.96907,                   1,             0.97556,             0.94768,           0.0042747,           0.0016789,          0.00021768,             0.00406,             0.00406,             0.00406
                  62,            0.012136,           0.0041167,          0.00031603,             0.96917,                   1,             0.98056,             0.94365,           0.0045533,           0.0016696,          0.00021658,            0.003961,            0.003961,            0.003961
                  63,            0.012022,           0.0041196,          0.00030168,             0.96929,                   1,             0.98056,             0.92488,           0.0056654,           0.0017262,          0.00019169,            0.003862,            0.003862,            0.003862
                  64,             0.01223,           0.0041721,          0.00031401,             0.96924,                   1,             0.96736,             0.94037,           0.0045606,           0.0017512,          0.00019488,            0.003763,            0.003763,            0.003763
                  65,            0.012729,           0.0044461,          0.00029416,             0.96932,                   1,             0.97556,             0.91972,           0.0050668,           0.0017626,          0.00017586,            0.003664,            0.003664,            0.003664
                  66,            0.011412,           0.0042388,          0.00025469,             0.96916,                   1,             0.97389,             0.94184,           0.0050887,           0.0016308,          0.00016079,            0.003565,            0.003565,            0.003565
                  67,            0.012143,           0.0038911,          0.00031415,             0.96889,                   1,             0.97056,              0.9408,           0.0044101,           0.0016217,          0.00018268,            0.003466,            0.003466,            0.003466
                  68,            0.011602,           0.0041872,          0.00029625,             0.96901,                   1,             0.97056,             0.93696,           0.0043586,            0.001729,          0.00019326,            0.003367,            0.003367,            0.003367
